Transaction ID,Date,Type,Category,Subcategory,Amount,Payment Mode,Account,Recurring,Necessity,Merchant,Budget Limit,Description,Tags,Year,Month,MonthName,Quarter,Weekday,Is_Outlier
TXN100576,2024-05-31,Expense,Healthcare,Pharmacy,1328.28,Net Banking,Credit Card A/C,Yes,Essential,Swiggy,3000.0,Healthcare transaction #576,review,2024,5,May,Q2,Friday,False
TXN100431,2025-05-03,Expense,Uncategorized,General,2378.73,Credit Card,Primary Savings,No,Discretionary,BESCOM,0.0,Misc transaction #431,one-time,2025,5,May,Q2,Saturday,False
TXN101277,2025-05-31,Expense,Uncategorized,General,5620.14,UPI,Credit Card A/C,No,Discretionary,BESCOM,0.0,Misc transaction #1277,review,2025,5,May,Q2,Saturday,False
TXN102473,2025-09-19,Expense,Utilities,Internet,2317.81,Net Banking,Credit Card A/C,Yes,Essential,Employer,3000.0,Utilities transaction #2473,review,2025,9,Sep,Q3,Friday,False
TXN100934,2025-10-18,Expense,Food,Dining Out,866.81,Credit Card,Primary Savings,Yes,Discretionary,Swiggy,0.0,food transaction #934,review,2025,10,Oct,Q4,Saturday,False
TXN100810,2024-02-23,Expense,Uncategorized,General,3925.66,Cash,Credit Card A/C,Yes,Discretionary,Amazon,0.0,Misc transaction #810,review,2024,2,Feb,Q1,Friday,False
TXN100368,2024-12-05,Income,Salary,General,23798.76,Bank Transfer,Salary Account,Yes,N/A,Employer,0.0,Salary transaction #368,reimbursable,2024,12,Dec,Q4,Thursday,False
TXN100209,2024-10-08,Expense,Utilities,Electricity,5597.98,Cash,Salary Account,Yes,Essential,Zomato,3000.0,Utilities transaction #209,reimbursable,2024,10,Oct,Q4,Tuesday,False
TXN101348,2024-06-11,Income,Gift,General,23504.56,Bank Transfer,Salary Account,No,N/A,Zomato,0.0,Gift transaction #1348,None,2024,6,Jun,Q2,Tuesday,False
TXN102062,2024-11-11,Income,Investment,General,35561.41,Bank Transfer,Salary Account,No,N/A,Local Store,0.0,Investment transaction #2062,review,2024,11,Nov,Q4,Monday,False
TXN102211,2024-11-23,Expense,Groceries,Groceries,1450.0,Debit Card,Cash Wallet,Yes,Essential,Freelance Client,6000.0,Groceries transaction #2211,review,2024,11,Nov,Q4,Saturday,False
TXN101804,2024-07-18,Expense,Food,Groceries,6094.25,UPI,Primary Savings,No,Discretionary,Employer,0.0,food transaction #1804,review,2024,7,Jul,Q3,Thursday,False
TXN101118,2025-10-24,Expense,Subscriptions,Streaming,6630.64,UPI,Credit Card A/C,Yes,Discretionary,Local Store,1500.0,Subscriptions transaction #1118,None,2025,10,Oct,Q4,Friday,False
TXN101380,2024-08-28,Expense,Utilities,Internet,1963.42,Credit Card,Salary Account,Yes,Essential,Zomato,3000.0,Utilities transaction #1380,None,2024,8,Aug,Q3,Wednesday,False
TXN100520,2025-03-18,Expense,Shopping,Home Goods,3093.18,Cash,Cash Wallet,Yes,Discretionary,Freelance Client,5000.0,Shopping transaction #520,reimbursable,2025,3,Mar,Q1,Tuesday,False
