Transaction ID,Date,Type,Category,Subcategory,Amount,Payment Mode,Account,Recurring,Necessity,Merchant,Budget Limit,Description,Tags
TXN100576,2024-05-31,Expense,Healthcare,Pharmacy,1328.28,Net Banking,Credit Card A/C,Yes,Essential,Swiggy,3000.0,Healthcare transaction #576,review
TXN100431,2025-05-03,Expense,,,2378.73,Credit Card,Primary Savings,No,Discretionary,BESCOM,,Misc transaction #431,one-time
TXN101277,2025-05-31,Expense,,,5620.14,UPI,Credit Card A/C,No,Discretionary,BESCOM,,Misc transaction #1277,review
TXN102473,2025-09-19,Expense,Utilities,Internet,2317.81,Net Banking,Credit Card A/C,Yes,Essential,Employer,3000.0,Utilities transaction #2473,review
TXN100934,2025-10-18,Expense,food,Dining Out,866.81,Credit Card,Primary Savings,Yes,Discretionary,Swiggy,,food transaction #934,review
TXN100810,2024-02-23,Expense,,,3925.66,Cash,Credit Card A/C,Yes,Discretionary,Amazon,,Misc transaction #810,review
TXN100368,2024-12-05,Income,Salary,,23798.76,Bank Transfer,Salary Account,Yes,,Employer,,Salary transaction #368,reimbursable
TXN100209,2024-10-08,Expense,Utilities,Electricity,5597.98,Cash,Salary Account,Yes,Essential,Zomato,3000.0,Utilities transaction #209,reimbursable
TXN101348,2024-06-11,Income,Gift,,23504.56,Bank Transfer,Salary Account,No,,Zomato,,Gift transaction #1348,
TXN102062,2024-11-11,Income,Investment,,35561.41,Bank Transfer,Salary Account,No,,Local Store,,Investment transaction #2062,review
TXN102211,2024-11-23,Expense,Groceries,Groceries,₹1450.0,Debit Card,Cash Wallet,Yes,Essential,Freelance Client,6000.0,Groceries transaction #2211,review
TXN101804,2024-07-18,Expense,food,Groceries,6094.25,UPI,Primary Savings,No,Discretionary,Employer,,food transaction #1804,review
TXN101118,2025-10-24,Expense,Subscriptions,Streaming,6630.64,UPI,Credit Card A/C,Yes,Discretionary,Local Store,1500.0,Subscriptions transaction #1118,
TXN101380,2024-08-28,Expense,Utilities,Internet,₹1963.42,Credit Card,Salary Account,Yes,Essential,Zomato,3000.0,Utilities transaction #1380,
TXN100520,2025-03-18,Expense,Shopping,Home Goods,3093.18,Cash,Cash Wallet,Yes,Discretionary,Freelance Client,5000.0,Shopping transaction #520,reimbursable
TXN102496,2025-08-24,Expense,food,Groceries,2549.44,Cash,Salary Account,No,Discretionary,Zomato,,food transaction #2496,one-time
TXN100785,2024-12-22,Expense,Healthcare,Insurance Premium,5586.82,,Cash Wallet,No,Essential,,3000.0,Healthcare transaction #785,
